时间,外环频率,内环频率,遥控滚转,遥控俯仰,遥控偏航,遥控x,遥控y,遥控z,姿态x,姿态y,姿态z,q0,q1,q2,q3,外环输出x,外环输出y,外环输出z,力x,力y,力z,力矩x,力矩y,力矩z,--,电机1,电机2,电机3,电机4,电机5,电机6,电机7,电机8,
1.48829E+12,38.13HZ ,190.65HZ ,-1,0,0,0,-1,0,-0.24,2.5,1.43,1,0,0.03,0.07,0.1,-0.08,-0.14,-0.14,-0.99,0,0.05,0.18,0.54,,1497,1421,1490,1534,1427,1538,1521,1450,endOfFrame
1.48829E+12,37.85HZ ,189.23HZ ,-1,0,0,0,-1,0,-0.74,1.01,-5.73,1,0,0.01,-0.05,-0.01,-0.01,0.1,0.1,-0.99,-0.01,0.11,-0.08,-0.35,,1454,1490,1542,1446,1523,1490,1455,1476,endOfFrame
1.48829E+12,37.76HZ ,188.81HZ ,-1,0,0,0,-1,0,-1.87,0.46,2.7,1,-0.02,0.01,0,0.01,-0.01,0,0,-1,-0.03,-0.1,0.14,-0.61,,1409,1523,1547,1452,1514,1470,1420,1532,endOfFrame
1.48829E+12,37.50HZ ,187.50HZ ,-1,0,0,0,-1,0,-1.05,0.1,12.83,1,-0.01,0,0.1,0,0.01,-0.19,-0.19,-0.98,-0.02,-0.06,-0.12,-0.61,,1439,1525,1544,1421,1537,1490,1417,1508,endOfFrame
1.48829E+12,37.83HZ ,189.15HZ ,-1,0,0,0,-1,0,-0.41,0.69,17.13,0.99,0,0.01,0.15,-0.01,-0.01,-0.3,-0.3,-0.95,-0.01,-0.03,0,-0.03,,1476,1490,1490,1476,1481,1490,1465,1476,endOfFrame
1.48829E+12,37.73HZ ,188.67HZ ,-1,0,0,0,-1,0,0,0.3,10.71,1,0,0,0.1,-0.02,0,-0.2,-0.19,-0.98,0,0.07,0.06,0.48,,1506,1426,1490,1516,1443,1535,1515,1443,endOfFrame
1.48829E+12,37.49HZ ,187.43HZ ,-1,0,0,0,-1,0,0.13,1.31,1.11,1,0,0.01,0.01,-0.02,-0.02,-0.02,-0.02,-1,0,-0.04,-0.17,0.18,,1500,1466,1490,1476,1481,1529,1490,1442,endOfFrame
1.48829E+12,37.71HZ ,188.55HZ ,-1,0,0,0,-1,0,-1.45,1.46,-0.51,1,0,0.01,-0.01,-0.01,-0.02,0.02,0.02,-1,-0.01,-0.03,-0.29,-0.33,,1476,1490,1522,1428,1539,1490,1436,1476,endOfFrame
1.48829E+12,37.81HZ ,189.05HZ ,-1,0,0,0,-1,0,1.14,3.22,6.04,1,-0.01,0.03,0.03,0,-0.06,-0.05,-0.05,-1,-0.02,-0.35,0.15,-0.6,,1403,1546,1522,1476,1504,1490,1397,1540,endOfFrame
1.48829E+12,38.01HZ ,190.03HZ ,-1,0,0,0,0,0,1.69,1.37,12.64,0.99,0.02,0.01,0.1,-0.06,-0.02,-0.19,0,0,0,0.09,-0.13,-0.2,,1476,1490,1510,1445,1511,1469,1490,1476,endOfFrame
1.48829E+12,38.06HZ ,190.31HZ ,-1,0,0,0,-1,0,0.86,2.3,10.75,0.99,0,0.03,0.11,-0.02,-0.05,-0.21,-0.21,-0.98,0,-0.14,0.22,0.25,,1476,1459,1490,1521,1437,1535,1490,1476,endOfFrame
1.48829E+12,37.75HZ ,188.76HZ ,0,0,0,0,-1,0,0.37,-0.88,2.89,1,0.01,-0.01,0.04,-0.01,0.02,-0.07,-0.07,-1,0.01,-0.08,0.02,0.21,,1476,1463,1490,1499,1481,1531,1490,1476,endOfFrame
1.48829E+12,37.89HZ ,189.44HZ ,0,-1,0,-1,-1,0,0.69,0.13,0.35,1,0.01,0,0,-0.01,-0.02,0,-1,-1,0,-0.01,0.09,-0.2,,1476,1490,1529,1456,1481,1490,1453,1513,endOfFrame
1.48829E+12,38.38HZ ,191.92HZ ,0,-1,0,0,0,0,-0.66,-0.98,4.2,1,-0.01,-0.01,0.04,0.01,0,-0.07,0,0,0,0.03,-0.14,-0.19,,1476,1490,1490,1447,1509,1490,1490,1476,endOfFrame
1.48829E+12,38.63HZ ,193.14HZ ,0,0,0,0,0,0,1.05,1.93,8.99,1,0,0.01,0.06,0,-0.02,-0.12,0,0,0,-0.12,0.04,-0.42,,1437,1532,1490,1452,1504,1470,1447,1514,endOfFrame
